length_title,length_description,category,caption,licensedContent,privacyStatus,view_count,like_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country,days_online,published_month,duration_sec
24,122,Entertainment,False,False,public,2745224,22357,0,3892171,3360,33,IN,4611,6,78
68,587,Gaming,False,True,public,19943,1298,147,188516979,593000,1316,IN,3,1,533
50,1279,Film & Animation,False,True,public,1227124,19108,0,92566185,279000,637,US,1018,4,1317
49,591,Gaming,False,True,public,3672,691,112,188516979,593000,1316,IN,1,1,510
64,137,Film & Animation,False,True,public,3362417,45538,0,303755239,475000,660,CA,1906,11,1273
91,3236,Entertainment,False,True,public,5669354,47052,0,146150106,301000,2114,KR,729,1,4127
38,268,Entertainment,False,True,public,31697,2373,216,592989,5420,53,CA,5,1,243
44,2304,Entertainment,False,False,public,754,15,3,202269,1280,192,US,753,12,778
71,118,News & Politics,True,True,public,316,13,3,364434223,383000,74398,US,2,1,32
96,2548,Education,False,False,public,40,1,1,12343218,46800,10104,US,168,8,101
48,333,Autos & Vehicles,True,False,public,1359,13,0,109322,335,173,US,2188,1,143
26,1868,Sports,False,True,public,55,9,0,1687622,7560,248,JP,1,1,1830
63,3967,Entertainment,False,False,public,886,5,0,11703547,14900,251,US,592,6,183
29,145,Entertainment,False,True,public,2547,23,20,528780754,510000,50633,US,894,8,561
63,165,News & Politics,True,True,public,145,3,0,29351045,49000,26601,US,250,5,46
54,99,Science & Technology,False,False,public,10103,88,0,817774,9380,146,US,2036,6,31
75,3371,Education,False,False,public,72,1,0,12343218,46800,10104,US,397,12,158
39,552,Sports,False,True,public,32847,511,12,5112261,6670,57,NO,253,5,24
44,964,Education,False,True,public,97,0,0,223205,2520,2842,US,177,7,1909
47,252,Education,False,False,public,511,7,4,1226608,792,420,US,2333,9,102
71,0,Sports,False,True,public,2771,216,6,8342594,16600,751,DE,91,10,53
27,966,Sports,False,False,public,3961,35,0,1565997,4220,521,US,363,1,102
24,966,Sports,False,False,public,7389,24,1,1565997,4220,521,US,1091,1,31
26,0,People & Blogs,False,True,public,792060,48677,944,29619600,113000,136,US,468,10,20
23,435,Science & Technology,False,True,public,10650511,150908,20631,3978689983,18100000,1621,US,3754,10,812
38,0,Science & Technology,False,True,public,254635,7646,45,264753603,208000,1791,ID,180,7,20
46,505,Science & Technology,False,True,public,399023,2335,211,177341108,374000,4013,DE,3765,9,523
43,761,Science & Technology,False,True,public,173714,1857,484,190795348,452000,2051,DE,3773,9,1085
56,0,Gaming,False,True,public,1044377,28956,106,264753603,208000,1791,ID,404,12,16
46,0,Science & Technology,False,True,public,2547731,87900,861,7649870,8160,370,GB,458,10,16
43,1061,Entertainment,False,True,public,32006,548,64,1944561,6890,64,AU,107,10,669
44,0,Science & Technology,False,True,public,43291,1419,20,264753603,208000,1791,ID,201,7,20
21,18,Science & Technology,False,True,public,13459,161,30,264753603,208000,1791,ID,214,6,626
27,437,People & Blogs,False,False,public,4231,90,19,21068,76,22,DE,315,3,846
45,1954,Science & Technology,False,True,public,91486,1298,266,280906547,518000,8438,US,375,1,531
18,0,Entertainment,False,True,public,497634,31522,411,1850509,5860,157,PH,335,2,53
30,707,Science & Technology,False,True,public,306240,10043,839,56926892,281000,423,AU,492,9,412
53,967,Gaming,False,True,public,6165305,189839,931,151645509,777000,439,IN,354,2,19
37,131,Science & Technology,False,True,public,34658,619,118,466874,1090,46,US,339,2,348
64,0,Entertainment,False,True,public,18210,1122,43,893276,4090,129,BR,243,5,34
66,523,People & Blogs,False,True,public,216110,2397,22,17311128,40200,2087,IN,579,6,195
53,1414,Science & Technology,False,True,public,62674,2967,65,3420526,13000,697,BR,357,1,12
51,1806,Music,True,True,public,63665371,1279287,141824,31982364148,73800000,1594,KR,129,9,207
34,192,Music,False,True,public,13612042,76379,1899,2183327725,2820000,11986,US,4206,7,241
31,551,Music,True,True,public,323999714,1787819,72702,27378862173,25600000,307,US,4737,2,304
27,339,Entertainment,True,False,public,36095038,469597,40675,969352110,1970000,965,KR,3472,7,275
68,738,Music,False,True,public,344786936,2058770,71038,1414517671,1620000,54,US,1114,1,196
41,4425,Music,False,True,public,15648299,186632,8406,1709847719,2530000,281,US,219,6,199
56,1504,Howto & Style,True,True,public,13200250,115739,2930,1430595114,12500000,723,US,3098,7,1874
44,317,Music,False,False,public,8417881,141635,4369,2135716523,2070000,156,US,1185,10,349
48,2594,Music,True,True,public,162331675,1653166,43673,15277500103,56800000,463,US,2232,12,195
38,789,People & Blogs,False,True,public,1549970,107231,3549,1195191531,9180000,187,US,8,1,1619
16,2935,Music,True,False,public,37068899,200112,5429,1376875261,1440000,54,JP,973,5,203
59,2836,Education,True,True,public,43482327,62281,0,175653804169,170000000,1066,US,902,8,199
68,3786,Music,True,True,public,28719675,261977,2815,2335070188,4660000,1933,US,1158,11,223
67,735,Music,False,True,public,5272643,59406,3881,9486911840,10700000,48827,KR,3474,7,248
46,1442,Howto & Style,True,True,public,12162719,137354,2938,1430595114,12500000,723,US,3588,3,947
47,621,Music,False,True,public,91059239,576784,14965,497625841,749000,190,US,548,7,167
92,92,Science & Technology,False,True,public,19910040,97179,2428,63340847,320000,17,US,1023,4,679
49,1300,Music,False,True,public,1719700,12353,517,16088225,18300,25,NL,1021,4,215
43,1362,Music,False,True,public,206321,738,60,184345652,125000,1087,NL,1641,7,374
35,392,Gaming,False,False,public,392945,4254,56,395562,449,6,GB,2444,5,178
41,479,People & Blogs,False,True,public,59505940,485056,9634,3104617701,6190000,785,US,1606,8,619
47,302,Music,False,False,public,115941,2709,138,9130543,67200,165,SK,418,11,279
78,2787,Film & Animation,False,True,public,1864801,9335,0,1022731766,2190000,630,US,500,9,671
50,398,Pets & Animals,False,True,public,5300335,29858,2622,181048118,535000,631,US,353,2,1142
100,164,People & Blogs,False,True,public,6993,229,45,219705903,639000,505,IN,1,1,669
26,0,People & Blogs,False,True,public,89113439,2326450,2568,1706172345,3430000,1107,US,163,8,52
92,1632,Entertainment,False,True,public,1364490,8957,368,331672829,694000,639,GB,827,10,2799
47,547,Music,False,True,public,2692302,20416,451,28790687,78900,32,FR,1811,2,243
96,0,Entertainment,False,True,public,111396010,479355,12647,397832806,1230000,73,US,1604,9,851
61,2368,Music,False,False,public,1932430,13837,284,101629467,232000,3622,FR,2281,10,334
